year,y_1,y_n_real_obs,y_n_real_EH,term_prem,eh_method,state_var_y1_mean,state_var_y1_lag_coeff,state_var_max_abs_eig,infl_ar1_mu,infl_ar1_phi,eh_spread
1966,0.032689068829857,0.02413036432601617,0.019472213407636996,0.004658150918379175,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.013216855422220002
1967,0.027922503621807832,0.022893820557165052,0.018773279467312404,0.004120541089852648,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.009149224154495428
1968,0.035357642421865204,0.032194796378223894,0.024025401506409323,0.008169394871814572,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.011332240915455882
1969,0.046628171101126374,0.035988902591954,0.0288529035511145,0.007135999040839502,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.017775267550011874
1970,0.050949717025228554,0.05146790715925091,0.037359467708226804,0.014108439451024107,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.01359024931700175
1971,0.02111892219435997,0.03735961211350569,0.023630711624628757,0.013728900488876934,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.0025117894302687863
1972,0.019796834380966345,0.03602719902919935,0.022411862322943184,0.013615336706256163,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.002615027941976839
1973,0.050418826218555514,0.04074322668018523,0.032608357415573865,0.008134869264611364,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.01781046880298165
1974,0.0593258733667814,0.04253595950881196,0.03820336350978082,0.004332595999031144,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,-0.02112250985700058
1975,0.011831724608582922,0.045204882713704125,0.02813945019864513,0.017065432515058994,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.01630772559006221
1976,0.016504021669320634,0.05056350177448095,0.02988163824150846,0.020681863532972487,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.013377616572187827
1977,0.020119801886978317,0.046874134827731666,0.029430608110415684,0.017443526717315982,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.009310806223437367
1978,0.036847046587189736,0.05274328324406013,0.03804388766699403,0.0146993955770661,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.0011968410798042922
