year,rtb,xr,cape,y_1_nom,spr_nom,y_10_nom_obs,y_1_real,y_10_real_EH,y_10_nom_EH,pi_10_VAR,term_prem_nom,y_10_real_obs_implied,spr_real_obs_implied,long_yield_pct,maturity_n,long_yield_source
1965,0.03042381262754875,0.11011434311186985,-3.147136402858789,0.04363403702006131,-0.0025880675840603273,0.04104596943600098,0.025067323195687934,0.014825521400640057,0.039239007285670716,0.02441348588503066,0.0018069621503302644,0.01663248355097032,-0.008434839644717612,4.19,20,shiller
1966,0.024585842049366678,0.06694969264830053,-3.1804876739970838,0.052971884766105724,-0.007902921398527607,0.04506896336757812,0.030396334922094703,0.016883975701665457,0.04229703174137281,0.025413056039707352,0.002771931626205308,0.019655907327870765,-0.010740427594223938,4.61,20,shiller
1967,0.018965516780910782,-0.11885435760933155,-3.0171141495226452,0.05401458830623825,-0.009232445534345067,0.044782142771893185,0.03617038463600433,0.017487476268469474,0.04238925331517736,0.024901777046707884,0.002392889456715827,0.0198803657251853,-0.01629001891081903,4.58,20,shiller
1968,0.018189861788093245,0.09591506661525198,-3.06858934455813,0.059871397037390334,-0.006046310342482875,0.05382508669490746,0.027124849933027793,0.018917318327089497,0.04735787933704928,0.028440561009959786,0.006467207357858176,0.025384525684947673,-0.0017403242480801204,5.53,20,shiller
1969,0.016823143468876707,0.041694047651884295,-3.053763798450418,0.07742389696480362,-0.018777701532070194,0.058646195432733424,0.042970374031579404,0.023806163316511073,0.05288850279889162,0.02908233948238055,0.0057576926338418,0.029563855950352873,-0.013406518081226532,6.04,20,shiller
1970,0.017460432197246557,-0.16536225633684248,-2.8385251756860104,0.087186361678916,-0.012171657873470326,0.07501470380544567,0.04797069526249775,0.02592504860802634,0.05918716374779187,0.03326211513976553,0.0158275400576538,0.04175258866568014,-0.00621810659681761,7.79,20,shiller
1971,0.03562855201406588,-0.020269981152347447,-2.8010421773716354,0.05505620574807841,0.005474293991953948,0.060530499740032356,0.02914962685884532,0.018364871522564115,0.04802692118751096,0.029662049664946843,0.012503578552521398,0.030868450075085513,0.0017188232162401937,6.24,20,shiller
1972,0.022914996536281422,0.07476470688818582,-2.848565297295101,0.04516455195437364,0.012632546771843077,0.05779709872621672,0.011981876657251327,0.015362384606397123,0.045554587860747724,0.0301922032543506,0.012242510865468993,0.027604895471866116,0.01562301881461479,5.95,20,shiller
1973,0.009318420181237762,0.11957842719583023,-2.929193377923576,0.07631268284916358,-0.01371354109264361,0.06259914175651997,0.03308558046893098,0.02403510441827038,0.05518532540509611,0.031150220986825728,0.007413816351423859,0.031448920769694244,-0.0016366596992367366,6.46,20,shiller
1974,-0.013433605007111896,-0.24828433711209213,-2.6049627957123613,0.10463024907808292,-0.037065062915659114,0.06756518616242381,0.06255125387939545,0.032694196115356025,0.06401818111267987,0.03132398499732385,0.003547005049743937,0.03624120116509996,-0.026310052714295484,6.99,20,shiller
